id;status;date_added;date_modified
1;COMPLETED;2021-02-15T20:11:47;2021-02-15T17:48:26
2;CREATED;2021-02-15T20:21:41;2021-02-15T23:09:17
3;CANCELLED;2021-02-16T04:05:39;2021-02-15T21:21:32
4;CREATED;2021-02-15T19:07:20;2021-02-15T14:51:33
5;COMPLETED;2021-02-16T14:13:59;2021-02-16T01:41:16
6;IN_PROGRESS;2021-02-16T03:13:27;2021-02-16T08:08:42
7;CANCELLED;2021-02-15T23:10:11;2021-02-16T07:08:08
8;IN_PROGRESS;2021-02-16T06:24:44;2021-02-16T01:08:21
9;IN_PROGRESS;2021-02-15T23:56:09;2021-02-16T04:06:59
10;COMPLETED;2021-02-15T21:49:11;2021-02-16T00:31:58
